SU_ID,FINALWT,WEIGHTPOP,SURV_MODE,SURV_LANG,CUR1,CUR3AB,BB2A_A,BB2A_B,BB2A_C,BB2B_A,BB2B_B,BB2B_C,PRIV1,PRIV2A,PRIV2B,PRIV2C,PRIV2D,PRIV2E,PRIV2F,PRIV3A,PRIV3B,PRIV3C,PRIV3D,PRIV4A,PRIV4B,PRIV4C,PRIV4D,PRIV4E,PRIV4F,PRIV5,PRIV6,PRIV7A,PRIV7B,PRIV7C,PRIV7D,PRIV8,PRIV9A,PRIV9B,PRIV9C,PRIV9D,PRIV9E,PRIV9F,PRIV10A,PRIV10B,PRIV10C,PRIV10D,PRIV11,TEACH1,TEACH2A,TEACH2B,TEACH2C,TEACH2D,TEACH2E,TEACH2F,TEACH2G,TEACH3,TEACH4,TEACH5,TEACH6A,TEACH6B,TEACH6C,TEACH6D,POLITICS,DEMO,REPUB,INDEP,DP1,D4A,D4B,D4C,IDEO,URBAN,MARITAL,AGEGRP,EMPSTATUS,EDUCATION,RACETH,HHINCOME,GENDER,STATE,CENSUS_REGION
219,0.599021976,129433.40334,(2) Web Interview,(1) English,(2) Wrong direction,(7) Strongly disapprove,(4) Somewhat worse,(3) About the same,(4) Somewhat worse,(4) Somewhat worse,(4) Somewhat worse,(4) Somewhat worse,(1) Yes,(2) Several times a day,(4) At least once a week,(7) Do not have account,(7) Do not have account,(3) Once a day,(2) Several times a day,(5) Not at all concerned,(5) Not at all concerned,(5) Not at all concerned,(5) Not at all concerned,(5) Not at all concerned,(5) Not at all concerned,(5) Not at all concerned,(4) Not very concerned,(5) Not at all concerned,(5) Not at all concerned       7,(4) Not too difficult,(5) Never,(2) Most accounts,(5) No accounts,(5) No accounts,(4) A few accounts,(3) Only a little,(1) I have done this,(1) I have done this,(2) I have not done this but I have considered it,(2) I have not done this but I have considered it,(1) I have done this,(1) I have done this,(1) Very large,(1) Very large,(1) Very large,(1) Very large,"(2) Online companies such as Google and Facebook should not sell your private information to a third party, even if it means charging a fee to use their services that some people might not be able to afford.",(4) Somewhat too little,(5) Extremely important,(4) Very important,(2) Slightly important,(5) Extremely important,(2) Slightly important,(3) Moderately important,(3) Moderately important,(3) Neither support nor oppose,(4) Nothing at all,(3) Neither approve nor disapprove,(2) Large,(2) Large,(2) Large,(2) Large,(3) Independent,,,(3) Don’t lean,(2) No,,,,(1) Liberal,(1) Urban area,(5) Never married,(1) 18-29,(1) Employed,(3) Some college,"(1) White, non-Hispanic","(2) $10,000 to under $20,000",(2) Female,(NM) New Mexico,(4) West
220,0.7811182774,168779.77955,(2) Web Interview,(1) English,(2) Wrong direction,(2) Somewhat approve,(4) Somewhat worse,(2) Somewhat better,(3) About the same,(2) Somewhat better,(2) Somewhat better,(2) Somewhat better,(1) Yes,(2) Several times a day,(6) Never,(7) Do not have account,(7) Do not have account,(7) Do not have account,(7) Do not have account,(3) Moderately concerned,(5) Not at all concerned,(4) Not very concerned,(4) Not very concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(2) Very concerned,(3) Moderately concerned,(4) Not very concerned,(3) Moderately difficult,(4) Hardly ever,(2) Most accounts,(3) Some accounts,(5) No accounts,(3) Some accounts,(3) Only a little,(2) I have not done this but I have considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(1) I have done this,(2) I have not done this but I have considered it,(2) I have not done this but I have considered it,(3) Moderate,(4) Small,(1) Very large,(1) Very large,"(1) It’s better to keep services provided by online companies such as Google and Facebook free and accessible to anyone who wants to access these services, even if it means your private information might be sold to a third party.",(5) Far too little,(3) Moderately important,(4) Very important,(4) Very important,(2) Slightly important,(2) Slightly important,(3) Moderately important,(3) Moderately important,(2) Somewhat support,(3) Only a little,(3) Neither approve nor disapprove,(2) Large,(3) Moderate,(2) Large,(2) Large,(3) Independent,,,(2) Lean Republican,(2) No,,,,(3) Moderate,(2) Suburban area,(5) Never married,(3) 40-59,(1) Employed,(4) College graduate,"(1) White, non-Hispanic","(4) $30,000 to under $40,000",(2) Female,(NC) North Carolina,(3) South
223,1.1664392013,252037.82441,(2) Web Interview,(1) English,(2) Wrong direction,(7) Strongly disapprove,(4) Somewhat worse,(4) Somewhat worse,(2) Somewhat better,(3) About the same,(4) Somewhat worse,(3) About the same,(1) Yes,(4) At least once a week,(6) Never,(6) Never,(1) Almost constantly,(6) Never,(4) At least once a week,(2) Very concerned,(2) Very concerned,(2) Very concerned,(2) Very concerned,(2) Very concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(2) Very difficult,(3) Sometimes,(1) All accounts,(5) No accounts,(5) No accounts,(2) Most accounts,(1) A lot,(1) I have done this,(1) I have done this,(1) I have done this,(1) I have done this,(1) I have done this,(1) I have done this,(1) Very large,(4) Small,(1) Very large,(1) Very large,"(1) It’s better to keep services provided by online companies such as Google and Facebook free and accessible to anyone who wants to access these services, even if it means your private information might be sold to a third party.",(4) Somewhat too little,(2) Slightly important,(3) Moderately important,(3) Moderately important,(3) Moderately important,(3) Moderately important,(3) Moderately important,(3) Moderately important,(2) Somewhat support,(3) Only a little,(2) Somewhat approve,(1) Very large,(1) Very large,(1) Very large,(1) Very large,(4) None of these,,,(1) Lean Democrat,(2) No,,,,(1) Liberal,(2) Suburban area,(5) Never married,(1) 18-29,(1) Employed,(3) Some college,(4) Other,"(3) $20,000 to under $30,000",(1) Male,(MN) Minnesota,(2) Midwest
229,0.3666937584,79233.188495,(2) Web Interview,(1) English,(2) Wrong direction,(6) Somewhat disapprove,(4) Somewhat worse,(4) Somewhat worse,(3) About the same,(4) Somewhat worse,(4) Somewhat worse,(4) Somewhat worse,(1) Yes,(5) Less often,(7) Do not have account,(7) Do not have account,(7) Do not have account,(7) Do not have account,(7) Do not have account,(2) Very concerned,(4) Not very concerned,(2) Very concerned,(2) Very concerned,(1) Extremely concerned,(3) Moderately concerned,(4) Not very concerned,(5) Not at all concerned,(3) Moderately concerned,(2) Very concerned,(4) Not too difficult,(4) Hardly ever,(1) All accounts,(1) All accounts,(5) No accounts,(4) A few accounts,(3) Only a little,(1) I have done this,(2) I have not done this but I have considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(1) I have done this,(3) I have not done this and I have not considered it,(1) Very large,(4) Small,(1) Very large,(4) Small,"(1) It’s better to keep services provided by online companies such as Google and Facebook free and accessible to anyone who wants to access these services, even if it means your private information might be sold to a third party.",(5) Far too little,(4) Very important,(5) Extremely important,(5) Extremely important,(1) Not at all important,(2) Slightly important,(3) Moderately important,(2) Slightly important,(2) Somewhat support,(3) Only a little,(2) Somewhat approve,(3) Moderate,(1) Very large,(2) Large,(1) Very large,(3) Independent,,,(2) Lean Republican,(1) Yes,(1) Yes,(2) No,(2) No,(2) Conservative,(3) Rural area,(1) Married,(2) 30-39,(1) Employed,(3) Some college,"(1) White, non-Hispanic","(8) $100,000 to under $150,000",(1) Male,(WI) Wisconsin,(2) Midwest
231,2.7317554649,590262.83021,(2) Web Interview,(1) English,(1) Right direction,(1) Strongly approve,(3) About the same,(2) Somewhat better,(3) About the same,(3) About the same,(3) About the same,(4) Somewhat worse,(1) Yes,(2) Several times a day,(7) Do not have account,(7) Do not have account,(7) Do not have account,(7) Do not have account,(7) Do not have account,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(1) Extremely concerned,(2) Very concerned,(4) Not very concerned,(4) Not very concerned,(4) Not very concerned,(2) Very concerned,(4) Not very concerned,(3) Moderately difficult,(3) Sometimes,(2) Most accounts,(2) Most accounts,(5) No accounts,(2) Most accounts,(3) Only a little,(1) I have done this,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(1) I have done this,(5) None at all,(5) None at all,(5) None at all,(5) None at all,"(2) Online companies such as Google and Facebook should not sell your private information to a third party, even if it means charging a fee to use their services that some people might not be able to afford.",(5) Far too little,(4) Very important,(4) Very important,(2) Slightly important,(2) Slightly important,(1) Not at all important,(3) Moderately important,(3) Moderately important,(2) Somewhat support,(2) Some,(3) Neither approve nor disapprove,(4) Small,(2) Large,(2) Large,(2) Large,(3) Independent,,,(3) Don’t lean,(2) No,,,,(2) Conservative,(3) Rural area,(1) Married,(3) 40-59,(2) Not employed,(3) Some college,"(1) White, non-Hispanic","(6) $50,000 to under $75,000",(1) Male,(TN) Tennessee,(3) South
241,0.772032295,166816.52999,(2) Web Interview,(1) English,(1) Right direction,(1) Strongly approve,(2) Somewhat better,(2) Somewhat better,(1) Much better,(2) Somewhat better,(3) About the same,(2) Somewhat better,(1) Yes,(7) Do not have account,(7) Do not have account,(7) Do not have account,(7) Do not have account,(7) Do not have account,(7) Do not have account,(3) Moderately concerned,(3) Moderately concerned,(2) Very concerned,(2) Very concerned,,,,,,,,(1) Always,(1) All accounts,(1) All accounts,(5) No accounts,(5) No accounts,(1) A lot,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(1) Very large,(3) Moderate,(1) Very large,(5) None at all,"(2) Online companies such as Google and Facebook should not sell your private information to a third party, even if it means charging a fee to use their services that some people might not be able to afford.",(5) Far too little,(5) Extremely important,(5) Extremely important,(5) Extremely important,(2) Slightly important,(3) Moderately important,(2) Slightly important,(3) Moderately important,(2) Somewhat support,(1) A lot,(4) Somewhat disapprove,(1) Very large,(3) Moderate,(3) Moderate,(1) Very large,(2) Republican,,(1) Strong Republican,,(2) No,,,,(2) Conservative,(2) Suburban area,(1) Married,(4) 60-64,(1) Employed,(3) Some college,"(1) White, non-Hispanic","(6) $50,000 to under $75,000",(1) Male,(AZ) Arizona,(4) West
242,0.5233931472,113091.93826,(2) Web Interview,(1) English,(1) Right direction,(7) Strongly disapprove,(4) Somewhat worse,(3) About the same,(2) Somewhat better,(4) Somewhat worse,(3) About the same,(4) Somewhat worse,(1) Yes,(1) Almost constantly,(2) Several times a day,(2) Several times a day,(3) Once a day,(7) Do not have account,(7) Do not have account,(3) Moderately concerned,(4) Not very concerned,(4) Not very concerned,(3) Moderately concerned,(4) Not very concerned,(4) Not very concerned,(4) Not very concerned,(4) Not very concerned,(4) Not very concerned,(4) Not very concerned,(4) Not too difficult,(4) Hardly ever,(2) Most accounts,(4) A few accounts,(5) No accounts,(4) A few accounts,(3) Only a little,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(1) Very large,(4) Small,(3) Moderate,(4) Small,"(1) It’s better to keep services provided by online companies such as Google and Facebook free and accessible to anyone who wants to access these services, even if it means your private information might be sold to a third party.",(4) Somewhat too little,(3) Moderately important,(3) Moderately important,(3) Moderately important,(2) Slightly important,(3) Moderately important,(4) Very important,(2) Slightly important,(3) Neither support nor oppose,(3) Only a little,(2) Somewhat approve,(3) Moderate,(3) Moderate,(3) Moderate,(2) Large,(3) Independent,,,(3) Don’t lean,(2) No,,,,(2) Conservative,(1) Urban area,(5) Never married,(2) 30-39,(2) Not employed,(2) High school graduate or equivalent,"(1) White, non-Hispanic","(1) Under $10,000",(2) Female,(ME) Maine,(1) Northeast
246,0.4072997305,88007.105601,(2) Web Interview,(1) English,(2) Wrong direction,(7) Strongly disapprove,(4) Somewhat worse,(4) Somewhat worse,(2) Somewhat better,(4) Somewhat worse,(4) Somewhat worse,(4) Somewhat worse,(1) Yes,(2) Several times a day,(4) At least once a week,(6) Never,(5) Less often,(6) Never,(6) Never,(2) Very concerned,(3) Moderately concerned,(2) Very concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(2) Very concerned,(4) Not very concerned,(4) Not very concerned,(4) Not too difficult,(2) Frequently,(3) Some accounts,(4) A few accounts,(5) No accounts,(4) A few accounts,(1) A lot,(1) I have done this,(1) I have done this,(2) I have not done this but I have considered it,(2) I have not done this but I have considered it,(1) I have done this,(2) I have not done this but I have considered it,(2) Large,(2) Large,(2) Large,(2) Large,"(1) It’s better to keep services provided by online companies such as Google and Facebook free and accessible to anyone who wants to access these services, even if it means your private information might be sold to a third party.",(4) Somewhat too little,(4) Very important,(4) Very important,(3) Moderately important,(4) Very important,(2) Slightly important,(3) Moderately important,(3) Moderately important,(3) Neither support nor oppose,(3) Only a little,(2) Somewhat approve,(2) Large,(2) Large,(2) Large,(2) Large,(1) Democrat,(2) Moderate Democrat,,,(2) No,,,,(2) Conservative,(1) Urban area,(3) Divorced,(4) 60-64,(2) Not employed,(3) Some college,"(2) African American, non-Hispanic","(5) $40,000 to under $50,000",(2) Female,(IN) Indiana,(2) Midwest
253,0.3355994677,72514.503636,(1) Phone interview,(1) English,(1) Right direction,(1) Strongly approve,(3) About the same,(1) Much better,(1) Much better,(3) About the same,(3) About the same,(3) About the same,(2) No,,,,,,,,,,,,,,,,,,,,,,,(3) Only a little,,,,,,,(2) Large,(5) None at all,(2) Large,(3) Moderate,"(2) Online companies such as Google and Facebook should not sell your private information to a third party, even if it means charging a fee to use their services that some people might not be able to afford.",(4) Somewhat too little,(4) Very important,(4) Very important,(4) Very important,(4) Very important,(3) Moderately important,(3) Moderately important,(4) Very important,(5) Strongly oppose,(4) Nothing at all,(5) Strongly disapprove,(3) Moderate,(1) Very large,(3) Moderate,(1) Very large,(1) Democrat,(1) Strong Democrat,,,(2) No,,,,(3) Moderate,(2) Suburban area,(2) Widowed,(5) 65 and older,(2) Not employed,(3) Some college,"(1) White, non-Hispanic","(5) $40,000 to under $50,000",(2) Female,(NY) New York,(1) Northeast
258,1.2838217631,277401.20854,(2) Web Interview,(1) English,(1) Right direction,(2) Somewhat approve,(3) About the same,(2) Somewhat better,(2) Somewhat better,(2) Somewhat better,(3) About the same,(3) About the same,(1) Yes,(2) Several times a day,(6) Never,(6) Never,(6) Never,(6) Never,(6) Never,(4) Not very concerned,(4) Not very concerned,(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(4) Not very concerned,(3) Moderately concerned,(4) Not very concerned,(4) Not very concerned,(3) Moderately concerned,(4) Not very concerned,(4) Not very concerned,(4) Not too difficult,(3) Sometimes,(3) Some accounts,(4) A few accounts,(5) No accounts,(5) No accounts,(2) Some,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(1) I have done this,(3) I have not done this and I have not considered it,(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),"(2) Online companies such as Google and Facebook should not sell your private information to a third party, even if it means charging a fee to use their services that some people might not be able to afford.",(5) Far too little,(4) Very important,(4) Very important,(4) Very important,(3) Moderately important,(3) Moderately important,(2) Slightly important,(2) Slightly important,(2) Somewhat support,(3) Only a little,(2) Somewhat approve,(3) Moderate,(3) Moderate,(3) Moderate,(2) Large,(4) None of these,,,(3) Don’t lean,(1) Yes,(1) Yes,(2) No,(2) No,(3) Moderate,(2) Suburban area,(1) Married,(2) 30-39,(1) Employed,(4) College graduate,"(1) White, non-Hispanic","(7) $75,000 to under $100,000",(2) Female,(GA) Georgia,(3) South
260,1.4770402565,319150.80735,(2) Web Interview,(1) English,(2) Wrong direction,(7) Strongly disapprove,(4) Somewhat worse,(3) About the same,(2) Somewhat better,(4) Somewhat worse,(4) Somewhat worse,(4) Somewhat worse,(1) Yes,(2) Several times a day,(6) Never,(6) Never,(7) Do not have account,(7) Do not have account,(7) Do not have account,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(3) Moderately difficult,(4) Hardly ever,(4) A few accounts,(2) Most accounts,(5) No accounts,(4) A few accounts,(2) Some,(2) I have not done this but I have considered it,(1) I have done this,(2) I have not done this but I have considered it,(1) I have done this,(1) I have done this,(2) I have not done this but I have considered it,(2) Large,(1) Very large,(1) Very large,(2) Large,"(2) Online companies such as Google and Facebook should not sell your private information to a third party, even if it means charging a fee to use their services that some people might not be able to afford.",(4) Somewhat too little,(3) Moderately important,(5) Extremely important,(2) Slightly important,(2) Slightly important,(1) Not at all important,(5) Extremely important,(3) Moderately important,(2) Somewhat support,(3) Only a little,(2) Somewhat approve,(2) Large,(1) Very large,(1) Very large,(2) Large,(1) Democrat,(2) Moderate Democrat,,,(1) Yes,(1) Yes,(2) No,(2) No,(1) Liberal,(3) Rural area,(1) Married,(3) 40-59,(1) Employed,(4) College graduate,"(1) White, non-Hispanic","(7) $75,000 to under $100,000",(2) Female,(VT) Vermont,(1) Northeast
267,0.4560502722,98540.856911,(2) Web Interview,(1) English,(2) Wrong direction,(2) Somewhat approve,(4) Somewhat worse,(4) Somewhat worse,(3) About the same,(4) Somewhat worse,(4) Somewhat worse,(3) About the same,(1) Yes,(7) Do not have account,(7) Do not have account,(7) Do not have account,(7) Do not have account,(7) Do not have account,(7) Do not have account,(2) Very concerned,(3) Moderately concerned,(2) Very concerned,(2) Very concerned,,,,,,,,(4) Hardly ever,(2) Most accounts,(1) All accounts,(5) No accounts,(4) A few accounts,(2) Some,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(1) I have done this,(1) Very large,(1) Very large,(1) Very large,(1) Very large,"(2) Online companies such as Google and Facebook should not sell your private information to a third party, even if it means charging a fee to use their services that some people might not be able to afford.",(3) About the right amount,(3) Moderately important,(5) Extremely important,(1) Not at all important,(4) Very important,(4) Very important,(3) Moderately important,(2) Slightly important,(5) Strongly oppose,(1) A lot,(5) Strongly disapprove,(1) Very large,(5) None at all,(4) Small,(1) Very large,(2) Republican,,(1) Strong Republican,,(1) Yes,(1) Yes,(2) No,(2) No,(2) Conservative,(3) Rural area,(1) Married,(3) 40-59,(1) Employed,(3) Some college,"(1) White, non-Hispanic","(8) $100,000 to under $150,000",(1) Male,(KS) Kansas,(2) Midwest
269,3.1898594435,689247.4408,(2) Web Interview,(1) English,(2) Wrong direction,(7) Strongly disapprove,(3) About the same,(3) About the same,(1) Much better,(4) Somewhat worse,(4) Somewhat worse,(4) Somewhat worse,(1) Yes,(2) Several times a day,(2) Several times a day,(2) Several times a day,(3) Once a day,(7) Do not have account,(2) Several times a day,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(4) Not too difficult,(5) Never,(5) No accounts,(5) No accounts,(1) All accounts,(5) No accounts,(2) Some,(1) I have done this,(1) I have done this,(2) I have not done this but I have considered it,(2) I have not done this but I have considered it,(2) I have not done this but I have considered it,(2) I have not done this but I have considered it,(3) Moderate,(3) Moderate,(2) Large,(3) Moderate,"(1) It’s better to keep services provided by online companies such as Google and Facebook free and accessible to anyone who wants to access these services, even if it means your private information might be sold to a third party.",(4) Somewhat too little,(1) Not at all important,(4) Very important,(4) Very important,(1) Not at all important,(1) Not at all important,(3) Moderately important,(1) Not at all important,(2) Somewhat support,(1) A lot,(2) Somewhat approve,(4) Small,(4) Small,(1) Very large,(4) Small,(2) Republican,,(2) Moderate Republican,,(2) No,,,,(3) Moderate,(2) Suburban area,(5) Never married,(1) 18-29,(1) Employed,(2) High school graduate or equivalent,"(1) White, non-Hispanic","(1) Under $10,000",(1) Male,(OK) Oklahoma,(3) South
271,0.4898090109,105835.26114,(2) Web Interview,(1) English,(2) Wrong direction,(2) Somewhat approve,(4) Somewhat worse,(2) Somewhat better,(3) About the same,(4) Somewhat worse,(4) Somewhat worse,(4) Somewhat worse,(1) Yes,(2) Several times a day,(6) Never,(6) Never,(5) Less often,(6) Never,(6) Never,(3) Moderately concerned,(4) Not very concerned,(1) Extremely concerned,(1) Extremely concerned,(2) Very concerned,(3) Moderately concerned,(4) Not very concerned,(1) Extremely concerned,(4) Not very concerned,(4) Not very concerned,(3) Moderately difficult,(4) Hardly ever,(4) A few accounts,(2) Most accounts,(5) No accounts,(5) No accounts,(2) Some,(1) I have done this,(1) I have done this,(1) I have done this,(2) I have not done this but I have considered it,(2) I have not done this but I have considered it,(2) I have not done this but I have considered it,(2) Large,(3) Moderate,(1) Very large,(2) Large,"(2) Online companies such as Google and Facebook should not sell your private information to a third party, even if it means charging a fee to use their services that some people might not be able to afford.",(3) About the right amount,(5) Extremely important,(4) Very important,(4) Very important,(2) Slightly important,(1) Not at all important,(2) Slightly important,(3) Moderately important,(3) Neither support nor oppose,(2) Some,(5) Strongly disapprove,(1) Very large,(3) Moderate,(3) Moderate,(1) Very large,(2) Republican,,(2) Moderate Republican,,(2) No,,,,(2) Conservative,(1) Urban area,(1) Married,(4) 60-64,(1) Employed,(4) College graduate,"(1) White, non-Hispanic","(7) $75,000 to under $100,000",(2) Female,(WI) Wisconsin,(2) Midwest
281,1.3738834132,296861.23896,(2) Web Interview,(1) English,(2) Wrong direction,(7) Strongly disapprove,(5) Much worse,(5) Much worse,(4) Somewhat worse,(5) Much worse,(4) Somewhat worse,(5) Much worse,(1) Yes,(2) Several times a day,(6) Never,(6) Never,(7) Do not have account,(6) Never,(5) Less often,(4) Not very concerned,(4) Not very concerned,(3) Moderately concerned,(3) Moderately concerned,(2) Very concerned,(3) Moderately concerned,(4) Not very concerned,(3) Moderately concerned,(3) Moderately concerned,(2) Very concerned,(4) Not too difficult,(3) Sometimes,(2) Most accounts,(5) No accounts,(3) Some accounts,(4) A few accounts,(1) A lot,(1) I have done this,(1) I have done this,(2) I have not done this but I have considered it,(3) I have not done this and I have not considered it,(1) I have done this,(1) I have done this,(1) Very large,(4) Small,(3) Moderate,(2) Large,"(2) Online companies such as Google and Facebook should not sell your private information to a third party, even if it means charging a fee to use their services that some people might not be able to afford.",(4) Somewhat too little,(3) Moderately important,(5) Extremely important,(5) Extremely important,(2) Slightly important,(1) Not at all important,(4) Very important,(3) Moderately important,(1) Strongly support,(1) A lot,(1) Strongly approve,(4) Small,(2) Large,(2) Large,(4) Small,(3) Independent,,,(1) Lean Democrat,(2) No,,,,(1) Liberal,(1) Urban area,(1) Married,(2) 30-39,(1) Employed,(4) College graduate,"(1) White, non-Hispanic","(7) $75,000 to under $100,000",(1) Male,(CA) California,(4) West
288,0.3313021144,71585.954979,(2) Web Interview,(1) English,(2) Wrong direction,(7) Strongly disapprove,(4) Somewhat worse,(3) About the same,(5) Much worse,(3) About the same,(3) About the same,(3) About the same,(1) Yes,(2) Several times a day,(5) Less often,(5) Less often,(6) Never,(5) Less often,(7) Do not have account,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(3) Moderately difficult,(3) Sometimes,(3) Some accounts,(2) Most accounts,(2) Most accounts,(3) Some accounts,(1) A lot,(1) I have done this,(1) I have done this,(1) I have done this,(1) I have done this,(1) I have done this,(1) I have done this,(1) Very large,(3) Moderate,(2) Large,(3) Moderate,"(2) Online companies such as Google and Facebook should not sell your private information to a third party, even if it means charging a fee to use their services that some people might not be able to afford.",(5) Far too little,(3) Moderately important,(3) Moderately important,(3) Moderately important,(3) Moderately important,(4) Very important,(3) Moderately important,(4) Very important,(1) Strongly support,(3) Only a little,(1) Strongly approve,(3) Moderate,(1) Very large,(1) Very large,(3) Moderate,(1) Democrat,(1) Strong Democrat,,,(2) No,,,,(1) Liberal,(2) Suburban area,(3) Divorced,(2) 30-39,(1) Employed,(3) Some college,"(2) African American, non-Hispanic","(7) $75,000 to under $100,000",(1) Male,(CT) Connecticut,(1) Northeast
297,1.3232254465,285915.34165,(2) Web Interview,(1) English,(2) Wrong direction,(7) Strongly disapprove,(4) Somewhat worse,(5) Much worse,(4) Somewhat worse,(4) Somewhat worse,(5) Much worse,(4) Somewhat worse,(1) Yes,(2) Several times a day,(5) Less often,(5) Less often,(6) Never,(6) Never,(6) Never,(2) Very concerned,(2) Very concerned,(2) Very concerned,(2) Very concerned,(2) Very concerned,(3) Moderately concerned,(2) Very concerned,(2) Very concerned,(3) Moderately concerned,(3) Moderately concerned,(4) Not too difficult,(2) Frequently,(2) Most accounts,(2) Most accounts,(5) No accounts,(2) Most accounts,(2) Some,(1) I have done this,(1) I have done this,(1) I have done this,(2) I have not done this but I have considered it,(2) I have not done this but I have considered it,(1) I have done this,(2) Large,(2) Large,(2) Large,(1) Very large,"(1) It’s better to keep services provided by online companies such as Google and Facebook free and accessible to anyone who wants to access these services, even if it means your private information might be sold to a third party.",(5) Far too little,(3) Moderately important,(4) Very important,(4) Very important,(3) Moderately important,(2) Slightly important,(4) Very important,(4) Very important,(2) Somewhat support,(3) Only a little,(3) Neither approve nor disapprove,(2) Large,(3) Moderate,(2) Large,(3) Moderate,(3) Independent,,,(1) Lean Democrat,(2) No,,,,(2) Conservative,(1) Urban area,(5) Never married,(3) 40-59,(2) Not employed,(2) High school graduate or equivalent,"(2) African American, non-Hispanic","(5) $40,000 to under $50,000",(2) Female,(DC) District of Columbia,(3) South
300,0.3497391511,75569.729367,(2) Web Interview,(1) English,(2) Wrong direction,(7) Strongly disapprove,(3) About the same,(4) Somewhat worse,(3) About the same,(3) About the same,(4) Somewhat worse,(2) Somewhat better,(1) Yes,(5) Less often,(7) Do not have account,(7) Do not have account,(7) Do not have account,(7) Do not have account,(7) Do not have account,(3) Moderately concerned,(2) Very concerned,(2) Very concerned,(2) Very concerned,(2) Very concerned,(4) Not very concerned,(2) Very concerned,(1) Extremely concerned,(2) Very concerned,(4) Not very concerned,(3) Moderately difficult,(4) Hardly ever,(1) All accounts,(1) All accounts,(5) No accounts,(3) Some accounts,(1) A lot,(2) I have not done this but I have considered it,(2) I have not done this but I have considered it,(2) I have not done this but I have considered it,(1) I have done this,(2) I have not done this but I have considered it,(2) I have not done this but I have considered it,(2) Large,(1) Very large,(1) Very large,(1) Very large,"(1) It’s better to keep services provided by online companies such as Google and Facebook free and accessible to anyone who wants to access these services, even if it means your private information might be sold to a third party.",(5) Far too little,(2) Slightly important,(4) Very important,(4) Very important,(3) Moderately important,(2) Slightly important,(4) Very important,(4) Very important,(2) Somewhat support,(2) Some,(2) Somewhat approve,(2) Large,(1) Very large,(1) Very large,(2) Large,(3) Independent,,,(1) Lean Democrat,(2) No,,,,(3) Moderate,(2) Suburban area,(2) Widowed,(5) 65 and older,(2) Not employed,(3) Some college,"(1) White, non-Hispanic","(4) $30,000 to under $40,000",(2) Female,(FL) Florida,(3) South
